Item ID,Group,Standards,Item Information,Prompt,Option A,Option B,Option C,Correct
S08PHS1.2LSAMPLE,8,S08PHS1.2,"L - Here are three objects. (Point to the objects.) Which object is the hardest: rock, flower, or cloud?",Which object is the hardest?,rock,flower,cloud,a
S08PHS1.2L01,8,S08PHS1.2,"L - Here are three flowers. (Point to answer choices.) Which is tallest: A, B, or C? ",Which is tallest?,A,B,C,b
S08PHS1.2L02,8,S08PHS1.2,"L - Here are three objects. (Point to answer choices.) Which is largest: house, paper clip, or brick?",Which is largest?,house,paper clip,brick,a
S08PHS1.2M03,8,S08PHS1.2,"M - Here are three objects. (Point to answer choices.) Which can burn: metal pot, paper, or rock?",Which can burn?,pot,paper,rock,b
S08PHS1.2M04,8,S08PHS1.2,"M - This is a pillow. (Point to pillow.) Which is harder than a pillow: cotton ball,  feather, or book?",Which is harder than a pillow?,cotton,feather,book,c
S08PHS1.2H05,8,S08PHS1.2,"H - This is a log. (Point to prompt.) What is left after a log burns: log, ashes, or rocks?",Which is left after a log burns?,log,ashes,rocks,b
S08PHS1.2L06,8,S08PHS1.2,"L - Here are three objects. (Point to answer choices.) Which is softest: rock, feather, wood?",Which is softest?,rock,feather,wood,b
S08PHS1.2M07,8,S08PHS1.2,"M - Here are three objects. (Point to answer choices.) Which is heaviest: baseball bat, feather, or pencil? ",Which is heaviest?,baseball bat,feather,pencil,a
S08PHS1.2M08,8,S08PHS1.2,"M - Here are three objects. (Point to answer choices.) Which could catch on fire: bowling ball, penny, or piece of wood?",Which could catch on fire?,bowling ball,penny,wood,c
S08PHS1.2H09,8,S08PHS1.2,"H - Here are three objects. (Point to answer choices.) Density measures how solid something is. Which object is most dense: feather, rock, or beach ball? ",Density measures how solid something is. Which is most dense?,feather,rock,beach ball,b
S08PHS1.2H10,8,S08PHS1.2,"H - Here are three pictures. (Point to answer choices.) Which shows water as a solid: ice cube, boiling water, or glass of water?",Which picture shows water as a solid?,ice cube,boiling water,glass of water,a
S08PHS1.2L11,8,S08PHS1.2,"L - Here are three objects. (Point to the objects.)  Which is largest: squirrel, flower, or tree?",Which is largest?,squirrel,flower,tree,c
S08PHS1.2L12,8,S08PHS1.2,"L - Here are three objects. (Point to the objects.) Which is round: pizza, box, or kite?",Which is round?,pizza,box,kite,a
S08PHS1.2M13,8,S08PHS1.2,"M - Here are three objects. (Point to the objects.) Which is softest: pencil, pillow, or wood?",Which is softest?,pencil,pillow,wood,b
S08PHS1.2M14,8,S08PHS1.2,"M - Here are three objects. (Point to the objects.) Which can burn: rock, cloud, or wood?",Which can burn?,rock,cloud,wood,c
S08PHS1.2H15,8,S08PHS1.2,"H - Here are three objects. (Point to the objects.) Which object has burned forming a new substance: A, B or C?",Which object has burned forming a new substance?,A,B,C,a
S08PHS1.2L16,8,S08PHS1.2,"L - Here are three objects. (Point to answer choices.) Which is smallest: a glass, coin or backpack? ",Which is smallest?,glass,coin,backpack,b
S08PHS1.2M17,8,S08PHS1.2,"M - Here are three people. (Point to answer choices.) Which weighs the most: A, B or C?  ",Which weighs the most?,A,B,C,a
S08PHS1.2M18,8,S08PHS1.2,"M - Here are three objects. (Point to answer choices.) Which can you burn: glass, brick or wood?",Which can you burn?,glass,brick,wood,c
S08PHS1.2H19,8,S08PHS1.2,"H - Here are three pictures. (Point to answer choices.) A physical change affects the form of something, but not its composition. Which shows a physical change: ice melting, wood burning or spoon?","A physical change affects the form of something, but not its composition. Which shows a physical change?",ice melting,wood burning,spoon,c
S08PHS1.2H20,8,S08PHS1.2,"H - Here are three pictures. (Point to answer choices.) A chemical change forms new substances. Which shows a chemical change: breaking glass, pencil sharpening, or wood burning?",A chemical change forms new substances. Which shows a chemical change?,breaking glass,pencil sharpening,wood burning,c
S08PHS1.3MSAMPLE,8,S08PHS1.3,"M - Here are three objects. (Point to the objects.) Which object is made of rock: A, B or C? ",Which is made of rock?,tree,brick,apple,b
S08PHS1.3L1,8,S08PHS1.3,"L - Here are three objects. (Point to answer choices.) Which is a key: A, B, or C? ",Which is a key? ,A,B,C,b
S08PHS1.3M2,8,S08PHS1.3,"M - This is a bicycle. (Point to bicycle.) Which part is made of metal: tires, seat, or frame?",Which part is made of metal?,tires,seat,frame,c
S08PHS1.3M3,8,S08PHS1.3,"M - Here are three objects. (Point to answer choices.) Which is made of metal: paperclip, book, or baseball?",Which is made of metal?,paperclip,book,baseball,a
